reasoner,repetition,stage,added_category,query_id,category,tier,execution_scope,authority,privacy_class,merge_strategy,source_roles,source_count,duration_ms,node_duration_ms_sum,result_count,ask_result,result_digest,status,censored
rdfs,1,5,data_lifecycle,EXT-Q24,data_lifecycle,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,24.250685,69.534102,2,,cd35088761eecd0de09641aec13e48dac6725b0576c66fdac20bc8344e94198c,completed,False
rdfs,1,5,data_lifecycle,EXT-Q25,data_lifecycle,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,39.309167,112.111712,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False
rdfs,1,5,data_lifecycle,EXT-Q31,data_lifecycle,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,18.332593,54.098299999999995,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False
rdfs,1,5,data_lifecycle,EXT-Q32,data_lifecycle,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,11.391093,33.034495,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False
rdfs,1,5,data_lifecycle,EXT-Q33,data_lifecycle,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,21.766556,64.910638,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False
rdfs,1,5,data_lifecycle,EXT-Q34,data_lifecycle,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,18.970111,56.31543,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False
rdfs,1,5,data_lifecycle,EXT-Q35,data_lifecycle,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,15.080611,42.545443,6,,1a33296b53f7b3324743a2a47a8a004fc86706c50786683d2f82cff66a07a619,completed,False
rdfs,1,6,security_identity,BASE-Q01,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,28.437185,82.493329,4,,4547c8c0fa291f2f53c5d8a46262367b16b231b6036ba566c847c65bb4c97838,completed,False
rdfs,1,6,security_identity,BASE-Q02,topology,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,21.887092,21.887092,10,,39f270deae8081898e377feb8cea90d3bf032b2541ac9610114469b500359cac,completed,False
rdfs,1,6,security_identity,BASE-Q06,identity_consent,core,cloud,global,internal,single,cloud,1,4.584447,4.584447,10,,f8aebcef3bdb5c68142d34426190fd6a36c4b31394471c9c7602e6c19e67ff84,completed,False
rdfs,1,6,security_identity,BASE-Q07,observability,core,fog,regional,internal,single,fog,1,34.537685,34.537685,9,,6ab9f2d67891945d065c17bf6451ab7e68834c15b108b502d30881ce21a41d41,completed,False
rdfs,1,6,security_identity,BASE-Q08,observability,core,fog,regional,internal,single,fog,1,37.176463,37.176463,2,,6527f1e187dfa51f5dc78e109fe2d9fb47aed82a4ec8f897d1dda6ee6850aa0a,completed,False
rdfs,1,6,security_identity,BASE-Q10,observability,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,27.761389,79.63844,4,,dc1945b8d3d731da5dda5ae28880ce8a9838cca18304c22607a926bb4d4d94ea,completed,False
rdfs,1,6,security_identity,BASE-Q15,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,12.660982,36.169015,1,,7ac55bded7c8d1294bfcac4ddeb28b5921a8083a19185e216bf5d1c0d62bd370,completed,False
rdfs,1,6,security_identity,BASE-Q20,identity_consent,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,24.367389,69.777084,4,,c4008c5d4a19afaa7107e1d07ba73e2440adc716bd8db9d4a9d4f85884e6e6ab,completed,False
rdfs,1,6,security_identity,BASE-Q23,topology,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,20.073926,58.179803,1,,d521e7e5ef76f48fc1b2a145498f8ab56929b7196438802c95f65952e1ec1850,completed,False
rdfs,1,6,security_identity,BASE-Q25,identity_consent,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,13.419666,38.887219,1,,4591a69ecb6837fd65b28a9688ad10f0fb7b8ca54c1a6ac395ef142fc831cfbf,completed,False
rdfs,1,6,security_identity,BASE-Q26,observability,core,fog,regional,internal,boolean_or,fog,1,5.77463,5.77463,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,6,security_identity,BASE-Q28,identity_consent,domain,authorities,data_owner,restricted,boolean_or,edge1|edge2|edge3,3,53.893519,139.500905,0,False,92b91e0dd8f69dcc43f3c56062f944147504cf0d80f20c98005fda34c727fd7e,completed,False
rdfs,1,6,security_identity,BASE-Q29,topology,core,fog,regional,internal,boolean_or,fog,1,14.094741,14.094741,1,True,35df7182aa6c75e0a1066245f679b81ec9ad05e9964a0684980a466c9cc63ac4,completed,False
rdfs,1,6,security_identity,BASE-Q31,identity_consent,core,cloud,global,internal,single,cloud,1,5.416251,5.416251,3,,8f8af6537cdd2b25ebfbb6f6e08414144fcbc319948609c1afa5eb440e09b376,completed,False
rdfs,1,6,security_identity,BASE-Q33,observability,core,authority_key:http://example.org/smartcity#UserB,data_owner,confidential,single,edge2,1,25.544277,25.544277,6,,132cf832480158fd75f2c60ab529bddf4c7fc3fc61aa2696543511925a74c8c0,completed,False
rdfs,1,6,security_identity,BASE-Q34,topology,core,fog,regional,internal,single,fog,1,10.693519,10.693519,1,,7c66062f36ae31e8068455da76c0bb4f918e7f6b8ecee7cd8a7946f3b6047884,completed,False
rdfs,1,6,security_identity,EXT-Q01,semantic_schema,core,cloud,global,internal,single,cloud,1,14.592591,14.592591,6,,66d5edbbdc2282624ffec271a4a523a20fdc7331b886d2884edf86a885532bcc,completed,False
rdfs,1,6,security_identity,EXT-Q02,semantic_schema,core,cloud,global,internal,single,cloud,1,7.021662,7.021662,3,,81bea9a8c2d4cf1237d7fb131249cc18ec4ca629eeabaadbd5f0b9b58d3e3333,completed,False
rdfs,1,6,security_identity,EXT-Q05,semantic_schema,core,cloud,global,internal,single,cloud,1,20.37125,20.37125,17,,e0fc9190703b6a7b2695ddc448f5c7e54c4feeff2545477c3194ebfd8ccb1f0c,completed,False
rdfs,1,6,security_identity,EXT-Q06,semantic_schema,core,cloud,global,internal,single,cloud,1,17.315674,17.315674,12,,1377568d225cfb45a1899c2ea951adf7ebda5ada4e188dbf5f114110484fa3ae,completed,False
