suite,reasoner,repetition,synthetic_users,synthetic_triples,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts,query_id,category,tier,duration_ms,result_count,ask_result,result_digest,failed_phase,timeout_seconds,error
scalability,owlrl,3,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,14055.254733,336.078,1,963.0719260000001,1,736.835482,744.496257,15,1,,,,,,,,,,
scalability,owlrl,3,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,13741.437436,388.814889,1,1011.8099409999999,1,742.8135149999999,725.74328,16,1,,,,,,,,,,
scalability,owlrl,3,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,14176.099229,341.834669,1,787.117853,1,741.082795,1476.4179199999999,14,1,,,,,,,,,,
scalability,rdfs_owlrl,1,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,5236.78706,52.981169,1,316.128644,1,1034.5579060000002,1425.532121,56,1,,,,,,,,,,
scalability,rdfs_owlrl,1,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,25621.141522,229.288593,1,1214.641927,1,1029.014834,990.6807960000001,14,1,,,,,,,,,,
scalability,rdfs_owlrl,1,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,25405.921818,135.014037,1,1151.717779,1,1034.5638350000002,832.828409,15,1,,,,,,,,,,
scalability,rdfs_owlrl,1,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,24852.482392,251.547148,1,1296.849647,1,1030.959407,827.600202,16,1,,,,,,,,,,
scalability,rdfs_owlrl,1,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,25696.132525,136.387985,1,1232.136635,1,1022.530318,510.79589799999997,14,1,,,,,,,,,,
scalability,rdfs_owlrl,2,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,5404.438177,85.847494,1,316.128644,1,1034.5579060000002,1340.148638,56,1,,,,,,,,,,
scalability,rdfs_owlrl,2,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,25637.505059,349.367963,1,1214.641927,1,1029.014834,994.1249240000001,14,1,,,,,,,,,,
scalability,rdfs_owlrl,2,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,25566.840614,229.304185,1,1151.717779,1,1034.5638350000002,629.0324069999999,15,1,,,,,,,,,,
scalability,rdfs_owlrl,2,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,24836.242152,425.040296,1,1296.849647,1,1030.959407,1143.582535,16,1,,,,,,,,,,
scalability,rdfs_owlrl,2,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,25772.438603,360.896044,1,1232.136635,1,1022.530318,508.591006,14,1,,,,,,,,,,
scalability,rdfs_owlrl,3,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,5301.177737,127.305442,1,316.128644,1,1034.5579060000002,1375.40808,56,1,,,,,,,,,,
scalability,rdfs_owlrl,3,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,25591.194615,132.542778,1,1214.641927,1,1029.014834,995.1388499999999,14,1,,,,,,,,,,
scalability,rdfs_owlrl,3,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,25513.109411,351.3995,1,1151.717779,1,1034.5638350000002,624.837946,15,1,,,,,,,,,,
scalability,rdfs_owlrl,3,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,24897.110115,261.98987,1,1296.849647,1,1030.959407,827.967796,16,1,,,,,,,,,,
scalability,rdfs_owlrl,3,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,25725.429506,353.070312,1,1232.136635,1,1022.530318,507.648986,14,1,,,,,,,,,,
scalability,rdfs,1,500,35105,True,http://127.0.0.1:8391,cloud,cloud,completed,False,2108.06104,178.448951,1,389.03853200000003,1,1479.460404000002,2178.867514,55,1,,,,,,,,,,
scalability,rdfs,1,500,35105,True,http://10.151.73.241:8391,fog,fog,completed,False,10164.97692,1008.022017,1,1826.780889,1,1466.15659,12512.106493000001,16,1,,,,,,,,,,
scalability,rdfs,1,500,35105,True,http://10.151.73.34:8391,edge1,edge,completed,False,10426.975845,825.549574,1,1820.5952029999999,1,1479.3369790000004,4512.879626999999,16,1,,,,,,,,,,
scalability,rdfs,1,500,35105,True,http://10.151.73.143:8391,edge2,edge,completed,False,10028.650346,1080.467018,1,2152.943317,1,1465.860688,2368.371369,13,1,,,,,,,,,,
scalability,rdfs,1,500,35105,True,http://10.151.73.173:8391,edge3,edge,completed,False,10432.432918,832.182115,1,1805.3676110000001,1,1466.809557,5462.293925,15,1,,,,,,,,,,
scalability,rdfs,2,500,35105,True,http://127.0.0.1:8391,cloud,cloud,completed,False,2109.071808,364.882969,1,389.03853200000003,1,1479.460404000002,2420.7105619999998,55,1,,,,,,,,,,
scalability,rdfs,2,500,35105,True,http://10.151.73.241:8391,fog,fog,completed,False,10160.217457,1338.579499,1,1826.780889,1,1466.15659,12511.829084,16,1,,,,,,,,,,
scalability,rdfs,2,500,35105,True,http://10.151.73.34:8391,edge1,edge,completed,False,10501.338216,1202.542981,1,1820.5952029999999,1,1479.3369790000004,4535.378443,16,1,,,,,,,,,,
scalability,rdfs,2,500,35105,True,http://10.151.73.143:8391,edge2,edge,completed,False,10470.761271,924.392407,1,2152.943317,1,1465.860688,2368.633851,13,1,,,,,,,,,,
scalability,rdfs,2,500,35105,True,http://10.151.73.173:8391,edge3,edge,completed,False,10167.885253,1176.516101,1,1805.3676110000001,1,1466.809557,5433.154388999999,15,1,,,,,,,,,,
scalability,rdfs,3,500,35105,True,http://127.0.0.1:8391,cloud,cloud,completed,False,2130.931369,189.810141,1,389.03853200000003,1,1479.460404000002,2454.305984,55,1,,,,,,,,,,
scalability,rdfs,3,500,35105,True,http://10.151.73.241:8391,fog,fog,completed,False,10382.00042,833.81824,1,1826.780889,1,1466.15659,12489.378085000002,16,1,,,,,,,,,,
scalability,rdfs,3,500,35105,True,http://10.151.73.34:8391,edge1,edge,completed,False,10465.703476,1174.618055,1,1820.5952029999999,1,1479.3369790000004,4561.6761639999995,16,1,,,,,,,,,,
scalability,rdfs,3,500,35105,True,http://10.151.73.143:8391,edge2,edge,completed,False,10374.212716,1342.456222,1,2152.943317,1,1465.860688,2386.631369,13,1,,,,,,,,,,
scalability,rdfs,3,500,35105,True,http://10.151.73.173:8391,edge3,edge,completed,False,10189.04452,1420.703295,1,1805.3676110000001,1,1466.809557,5440.727432000001,15,1,,,,,,,,,,
scalability,owlrl,1,500,35105,True,http://127.0.0.1:8391,cloud,cloud,completed,False,8750.834452,196.684345,1,421.11764600000004,1,1465.3823139999993,3390.504818,50,1,,,,,,,,,,
scalability,owlrl,1,500,35105,True,http://10.151.73.241:8391,fog,fog,completed,False,40526.299587,1068.370796,1,2015.6538339999997,1,1453.8606690000001,2097.744387,16,1,,,,,,,,,,
scalability,owlrl,1,500,35105,True,http://10.151.73.34:8391,edge1,edge,completed,False,40875.745438,1072.743981,1,2062.3487410000002,1,1453.4742980000005,12739.438214,17,1,,,,,,,,,,
scalability,owlrl,1,500,35105,True,http://10.151.73.143:8391,edge2,edge,completed,False,39789.31168,1229.675462,1,2315.758945,1,1458.6633710000003,2062.862865,16,1,,,,,,,,,,
scalability,owlrl,1,500,35105,True,http://10.151.73.173:8391,edge3,edge,completed,False,41434.429393,1050.437499,1,2035.7646409999998,1,1459.823938,6880.806922,16,1,,,,,,,,,,
scalability,owlrl,2,500,35105,True,http://127.0.0.1:8391,cloud,cloud,completed,False,8648.463306,220.310077,1,421.11764600000004,1,1465.3823139999993,3800.101942,50,1,,,,,,,,,,
scalability,owlrl,2,500,35105,True,http://10.151.73.241:8391,fog,fog,completed,False,41270.600253,860.206777,1,2015.6538339999997,1,1453.8606690000001,1572.829926,16,1,,,,,,,,,,
