suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts
cumulative,rdfs,2,7,context_zones,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,266.932114,270.004504,9,1
cumulative,rdfs,2,8,trust,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,297.832526,203.639628,23,1
cumulative,rdfs,2,8,trust,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,290.81922199999997,307.069166,10,1
cumulative,rdfs,2,8,trust,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,285.93805499999996,236.372073,7,1
cumulative,rdfs,2,8,trust,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,287.135498,134.58979799999997,7,1
cumulative,rdfs,2,8,trust,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,285.849064,257.16295,10,1
cumulative,rdfs,2,9,decision,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,342.69982099999993,250.187809,32,1
cumulative,rdfs,2,9,decision,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,333.10625799999997,333.292352,12,1
cumulative,rdfs,2,9,decision,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,328.11601899999994,308.812518,9,1
cumulative,rdfs,2,9,decision,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,329.85024,197.82933200000002,9,1
cumulative,rdfs,2,9,decision,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,327.56219,309.53749600000003,12,1
cumulative,rdfs,2,10,policy_governance,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,391.23800099999994,292.553621,37,1
cumulative,rdfs,2,10,policy_governance,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,391.865073,378.36513,12,1
