suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,query_id,category,tier,status,censored,calibrated_query_ms,predicted_node_ms
cumulative,rdfs,1,6,security_identity,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q33,data_lifecycle,core,completed,False,5.707883,264.21567400000004
cumulative,rdfs,1,6,security_identity,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q34,data_lifecycle,core,completed,False,5.707883,264.21567400000004
cumulative,rdfs,1,6,security_identity,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q02,topology,core,completed,False,5.028647,264.21567400000004
cumulative,rdfs,1,6,security_identity,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q29,topology,core,completed,False,5.028647,264.21567400000004
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,BASE-Q08,observability,core,completed,False,35.437018,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,BASE-Q26,observability,core,completed,False,35.437018,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,EXT-Q01,semantic_schema,core,completed,False,29.248833,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,EXT-Q02,semantic_schema,core,completed,False,29.248833,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,BASE-Q06,identity_consent,core,completed,False,30.941352,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,BASE-Q31,identity_consent,core,completed,False,30.941352,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,EXT-Q18,identity_consent,core,completed,False,30.941352,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.241:8391,fog,fog,EXT-Q32,data_lifecycle,core,completed,False,25.372555,247.568313
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,EXT-Q28,security_identity,core,completed,False,124.455889,260.08664799999997
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,BASE-Q01,identity_consent,core,completed,False,28.979944,260.08664799999997
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,BASE-Q25,identity_consent,core,completed,False,28.979944,260.08664799999997
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,EXT-Q14,identity_consent,core,completed,False,28.979944,260.08664799999997
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,EXT-Q24,data_lifecycle,core,completed,False,27.556482,260.08664799999997
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,BASE-Q23,topology,core,completed,False,21.134445,260.08664799999997
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,EXT-Q27,security_identity,core,completed,False,119.946907,258.12933100000004
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,EXT-Q06,semantic_schema,core,completed,False,29.340944,258.12933100000004
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,BASE-Q20,identity_consent,domain,completed,False,27.788944,258.12933100000004
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,EXT-Q12,identity_consent,core,completed,False,27.788944,258.12933100000004
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,EXT-Q21,identity_consent,core,completed,False,27.788944,258.12933100000004
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,EXT-Q35,data_lifecycle,core,completed,False,25.474648,258.12933100000004
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,BASE-Q07,observability,core,completed,False,34.726581,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,BASE-Q10,observability,domain,completed,False,34.726581,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,BASE-Q33,observability,core,completed,False,34.726581,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,EXT-Q05,semantic_schema,core,completed,False,29.404611,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,BASE-Q15,identity_consent,core,completed,False,28.812351,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,BASE-Q28,identity_consent,domain,completed,False,28.812351,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,EXT-Q17,identity_consent,core,completed,False,28.812351,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,EXT-Q31,data_lifecycle,core,completed,False,26.100459,266.932114
cumulative,rdfs,1,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,BASE-Q34,topology,core,completed,False,20.810248,266.932114
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q22,security_identity,domain,completed,False,48.751138,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q26,security_identity,core,completed,False,48.751138,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q29,security_identity,core,completed,False,48.751138,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q30,security_identity,core,completed,False,48.751138,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q11,identity_consent,core,completed,False,6.053716,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q13,identity_consent,core,completed,False,6.053716,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q15,identity_consent,core,completed,False,6.053716,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q16,identity_consent,core,completed,False,6.053716,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q19,identity_consent,core,completed,False,6.053716,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q20,identity_consent,core,completed,False,6.053716,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q23,data_lifecycle,core,completed,False,5.707883,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q25,data_lifecycle,domain,completed,False,5.707883,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q33,data_lifecycle,core,completed,False,5.707883,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q34,data_lifecycle,core,completed,False,5.707883,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q02,topology,core,completed,False,5.028647,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q29,topology,core,completed,False,5.028647,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,BASE-Q18,context_zones,core,completed,False,3.863926,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q36,context_zones,core,completed,False,3.863926,275.807452
cumulative,rdfs,1,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,EXT-Q38,context_zones,domain,completed,False,3.863926,275.807452
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,BASE-Q08,observability,core,completed,False,35.437018,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,BASE-Q26,observability,core,completed,False,35.437018,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,EXT-Q01,semantic_schema,core,completed,False,29.248833,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,EXT-Q02,semantic_schema,core,completed,False,29.248833,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,BASE-Q06,identity_consent,core,completed,False,30.941352,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,BASE-Q31,identity_consent,core,completed,False,30.941352,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,EXT-Q18,identity_consent,core,completed,False,30.941352,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,EXT-Q32,data_lifecycle,core,completed,False,25.372555,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.241:8391,fog,fog,BASE-Q17,context_zones,domain,completed,False,17.674685,265.242998
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,EXT-Q28,security_identity,core,completed,False,124.455889,277.55459199999996
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,BASE-Q01,identity_consent,core,completed,False,28.979944,277.55459199999996
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,BASE-Q25,identity_consent,core,completed,False,28.979944,277.55459199999996
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,EXT-Q14,identity_consent,core,completed,False,28.979944,277.55459199999996
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,EXT-Q24,data_lifecycle,core,completed,False,27.556482,277.55459199999996
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,BASE-Q23,topology,core,completed,False,21.134445,277.55459199999996
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,EXT-Q39,context_zones,core,completed,False,17.467944,277.55459199999996
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,EXT-Q27,security_identity,core,completed,False,119.946907,275.468739
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,EXT-Q06,semantic_schema,core,completed,False,29.340944,275.468739
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,BASE-Q20,identity_consent,domain,completed,False,27.788944,275.468739
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,EXT-Q12,identity_consent,core,completed,False,27.788944,275.468739
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,EXT-Q21,identity_consent,core,completed,False,27.788944,275.468739
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,EXT-Q35,data_lifecycle,core,completed,False,25.474648,275.468739
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,EXT-Q37,context_zones,domain,completed,False,17.339408,275.468739
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.173:8391,edge3,edge,BASE-Q07,observability,core,completed,False,34.726581,266.932114
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.173:8391,edge3,edge,BASE-Q10,observability,domain,completed,False,34.726581,266.932114
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.173:8391,edge3,edge,BASE-Q33,observability,core,completed,False,34.726581,266.932114
