layout,median,metric,n,p95,reasoner,stage,suite,synthetic_users,total
replicated,549.4505220000001,query_wall_ms,3,589.2269598000001,rdfs,5,cumulative,,1544.5861560000003
replicated,409.738898,query_wall_ms,3,483.5317295,rdfs,6,cumulative,,1254.9528970000001
replicated,430.01908099999997,query_wall_ms,3,513.1299365,rdfs,7,cumulative,,1355.5070369999999
replicated,485.5991670000001,query_wall_ms,3,569.6155133999999,rdfs,8,cumulative,,1548.33461
replicated,610.5603720000001,query_wall_ms,3,735.5175032999999,rdfs,9,cumulative,,1887.764028
replicated,986.258791,query_wall_ms,3,996.6223855000002,rdfs,10,cumulative,,2924.088212
replicated,1105.770189,query_wall_ms,3,1129.4277041999999,rdfs,11,cumulative,,3314.172039
replicated,1079.276617,query_wall_ms,3,1109.8621918000001,rdfs,12,cumulative,,3248.0927360000005
replicated,1167.751043,query_wall_ms,3,1333.5602183,rdfs,13,cumulative,,3650.27992
replicated,1127.062724,query_wall_ms,3,1154.6674700000003,rdfs,14,cumulative,,3352.254167
replicated,1365.0891900000004,query_wall_ms,3,1559.4353565000001,rdfs,15,cumulative,,4247.242577
replicated,1366.582606,query_wall_ms,3,1374.3639294999998,rdfs,16,cumulative,,4090.276163
sharded,7718.689404000001,total_wall_ms,3,7837.3860147,owlrl,1,cumulative,,23268.411884
sharded,7694.4504640000005,total_wall_ms,3,7829.542448499999,owlrl,2,cumulative,,23140.863802
sharded,7811.228054,total_wall_ms,3,7948.2239633,owlrl,3,cumulative,,23490.186921
sharded,8280.717627,total_wall_ms,3,8411.7137214,owlrl,4,cumulative,,24904.919209
sharded,8591.060649000001,total_wall_ms,3,8637.3752862,owlrl,5,cumulative,,25754.209755000003
sharded,8963.835709,total_wall_ms,3,9267.5262181,owlrl,6,cumulative,,27160.654211
sharded,9015.789647,total_wall_ms,3,9313.1593121,owlrl,7,cumulative,,27327.502566000003
sharded,9228.971848000001,total_wall_ms,3,9371.961166899999,owlrl,8,cumulative,,27708.67623
sharded,9713.685923000001,total_wall_ms,3,9793.1111174,owlrl,9,cumulative,,29156.124498999998
sharded,9804.992244000001,total_wall_ms,3,9897.4862466,owlrl,10,cumulative,,29366.322321
sharded,10075.858531,total_wall_ms,3,10212.370077399999,owlrl,11,cumulative,,30283.998564
sharded,10117.021596999999,total_wall_ms,3,11115.873475899998,owlrl,12,cumulative,,31383.881290999998
sharded,10347.027653000001,total_wall_ms,3,10529.4120563,owlrl,13,cumulative,,31207.309516
sharded,10918.588016000002,total_wall_ms,3,11037.650528,owlrl,14,cumulative,,32691.128406000003
sharded,11059.305283000002,total_wall_ms,3,11097.287679699999,owlrl,15,cumulative,,32937.624576
sharded,11400.032319999998,total_wall_ms,3,11414.9644063,owlrl,16,cumulative,,33955.027084999994
replicated,7740.592154,total_wall_ms,3,7778.6124056,owlrl,1,cumulative,,23241.549621
replicated,7750.316755,total_wall_ms,3,7757.8720624,owlrl,2,cumulative,,23248.910119
replicated,7789.989514,total_wall_ms,3,7796.6433328,owlrl,3,cumulative,,23370.513867
replicated,8049.171316,total_wall_ms,3,8068.9225657,owlrl,4,cumulative,,24071.817896
replicated,8001.445657,total_wall_ms,3,8061.241307799999,owlrl,5,cumulative,,24062.595406
replicated,8215.533686,total_wall_ms,3,8218.9794692,owlrl,6,cumulative,,24571.61864
replicated,8115.290307,total_wall_ms,3,8125.8624342,owlrl,7,cumulative,,24338.107876000002
replicated,8205.605767,total_wall_ms,3,8316.2907595,owlrl,8,cumulative,,24697.962978
replicated,8367.666584999999,total_wall_ms,3,8386.5229746,owlrl,9,cumulative,,25070.311403
replicated,8543.860273,total_wall_ms,3,8591.9768794,owlrl,10,cumulative,,25679.953174
replicated,8622.12832,total_wall_ms,3,8701.1442718,owlrl,11,cumulative,,25924.138078
replicated,8701.438238,total_wall_ms,3,8768.7283229,owlrl,12,cumulative,,26131.929898000002
replicated,8788.051188,total_wall_ms,3,8798.7391056,owlrl,13,cumulative,,26324.007573
replicated,8785.10045,total_wall_ms,3,8881.4890514,owlrl,14,cumulative,,26437.25719
replicated,8978.911764,total_wall_ms,3,9096.6518997,owlrl,15,cumulative,,26976.11838
replicated,9018.282733,total_wall_ms,3,9026.808706599999,owlrl,16,cumulative,,27054.788092
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,1,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,2,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,3,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,4,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,5,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,6,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,7,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,8,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,9,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,10,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,11,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,12,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,13,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,14,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,15,cumulative,,20602.907247
sharded,6858.181274,max_node_reasoning_ms,3,6954.5015735,owlrl,16,cumulative,,20602.907247
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,1,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,2,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,3,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,4,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,5,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,6,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,7,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,8,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,9,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,10,cumulative,,22149.784617999998
