category,layer,layout,median,n,p95,reasoner,role,total
observability,Edge,sharded,29.776648,3,29.935631200000003,rdfs_owlrl,edge1,89.434833
security_identity,Edge,sharded,34.636769,12,309.61654784999996,rdfs_owlrl,edge1,1162.864038
topology,Edge,sharded,21.777778,3,22.273111,rdfs_owlrl,edge1,65.853371
trust,Edge,sharded,34.63563,6,46.364115500000004,rdfs_owlrl,edge1,208.066444
wellbeing,Edge,sharded,20.6892775,12,25.19454115,rdfs_owlrl,edge1,242.656075
adaptation,Edge,sharded,19.716,24,40.26412599999999,rdfs_owlrl,edge2,484.41641
audit_temporal,Edge,sharded,36.280852,15,101.0392796,rdfs_owlrl,edge2,784.679645
context_zones,Edge,sharded,34.344898,12,112.84298869999992,rdfs_owlrl,edge2,529.130851
data_lifecycle,Edge,sharded,20.491463000000003,24,39.7833772,rdfs_owlrl,edge2,526.340848
decision,Edge,sharded,26.817426,45,47.7625964,rdfs_owlrl,edge2,1288.441719
delegation,Edge,sharded,23.8344165,12,30.487635349999998,rdfs_owlrl,edge2,266.292592
federation,Edge,sharded,24.634111,21,38.094722,rdfs_owlrl,edge2,515.363386
identity_consent,Edge,sharded,23.876713000000002,48,44.358967449999994,rdfs_owlrl,edge2,1204.5210769999999
observability,Edge,sharded,25.9962595,6,28.49875,rdfs_owlrl,edge2,155.966963
security_identity,Edge,sharded,27.3503425,12,368.0498585,rdfs_owlrl,edge2,1230.142204
topology,Edge,sharded,21.782000500000002,6,22.434398,rdfs_owlrl,edge2,129.563779
trust,Edge,sharded,35.0251205,6,45.91974525,rdfs_owlrl,edge2,201.299573
wellbeing,Edge,sharded,20.206926,9,23.3954188,rdfs_owlrl,edge2,189.678054
adaptation,Edge,sharded,19.520598,24,38.132294349999995,rdfs_owlrl,edge3,473.390832
audit_temporal,Edge,sharded,35.196841,15,100.600617,rdfs_owlrl,edge3,842.318482
context_zones,Edge,sharded,25.963838000000003,12,62.00865434999999,rdfs_owlrl,edge3,370.173185
data_lifecycle,Edge,sharded,19.9992755,24,39.74046285,rdfs_owlrl,edge3,515.357794
decision,Edge,sharded,26.502412999999997,42,48.092140199999996,rdfs_owlrl,edge3,1215.639872
delegation,Edge,sharded,22.0050275,12,29.07820025,rdfs_owlrl,edge3,257.080227
federation,Edge,sharded,24.448104,21,38.106232,rdfs_owlrl,edge3,508.071686
identity_consent,Edge,sharded,23.819195999999998,48,44.472431,rdfs_owlrl,edge3,1198.279884
observability,Edge,sharded,28.072535,3,42.2656862,rdfs_owlrl,edge3,99.471976
security_identity,Edge,sharded,27.6672845,12,328.1728986,rdfs_owlrl,edge3,1190.07297
topology,Edge,sharded,21.282915,3,21.3894327,rdfs_owlrl,edge3,63.274857
trust,Edge,sharded,32.342763000000005,6,45.72680725,rdfs_owlrl,edge3,194.063688
