figure,maximum,median,metric,minimum,n,series,x
sharded-cumulative-time,0.6571525709999999,0.6435621100000001,query_wall_ms,0.6384072599999999,3,owlrl,4.0
sharded-cumulative-time,0.9798475810000001,0.9539051319999999,query_wall_ms,0.8546597739999999,3,owlrl,5.0
sharded-cumulative-time,1.5134080250000002,1.354768726,query_wall_ms,1.326680192,3,owlrl,6.0
sharded-cumulative-time,1.5583388029999998,1.424732365,query_wall_ms,1.3786341300000002,3,owlrl,7.0
sharded-cumulative-time,1.5999872859999997,1.591816331,query_wall_ms,1.5510753449999999,3,owlrl,8.0
sharded-cumulative-time,2.172905755,2.014074556,query_wall_ms,2.00334692,3,owlrl,9.0
sharded-cumulative-time,2.1678367270000005,2.1199017749999998,query_wall_ms,2.1127865509999997,3,owlrl,10.0
sharded-cumulative-time,2.439821838,2.4396764439999994,query_wall_ms,2.438703014,3,owlrl,11.0
sharded-cumulative-time,3.438995435,2.5762414289999995,query_wall_ms,2.402847159,3,owlrl,12.0
sharded-cumulative-time,2.8062474849999997,2.7618154069999994,query_wall_ms,2.673449356,3,owlrl,13.0
sharded-cumulative-time,3.2814324990000006,3.263018113,query_wall_ms,3.1808805259999997,3,owlrl,14.0
sharded-cumulative-time,3.5185251150000005,3.3136463629999997,query_wall_ms,3.1396558300000006,3,owlrl,15.0
sharded-cumulative-time,3.7794680100000004,3.6121707369999996,query_wall_ms,3.59759107,3,owlrl,16.0
sharded-cumulative-time,0.244552844,0.060962744,query_wall_ms,0.059644364000000005,3,rdfs,1.0
sharded-cumulative-time,0.238405734,0.223416209,query_wall_ms,0.060779254000000005,3,rdfs,2.0
sharded-cumulative-time,0.184908461,0.17202043,query_wall_ms,0.17088185099999997,3,rdfs,3.0
sharded-cumulative-time,0.784813087,0.6473317080000001,query_wall_ms,0.638175974,3,rdfs,4.0
sharded-cumulative-time,0.8348639069999999,0.832696069,query_wall_ms,0.8306095560000001,3,rdfs,5.0
sharded-cumulative-time,1.344294772,1.331766527,query_wall_ms,1.3005821349999998,3,rdfs,6.0
