source,target,kind,predicate,index
http://example.org/smartcity#artifactVersion,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#auditsContract,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#auditsContract,http://example.org/smartcity#SemanticContract,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#authoritativeFor,http://example.org/smartcity#DeploymentFragment,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#authoritativeFor,http://example.org/smartcity#AuthorityScope,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#authorizationReason,http://example.org/smartcity#AuthorizationDecision,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#authorizationReason,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#authorizedByEvaluation,http://example.org/smartcity#AdaptationAction,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#authorizedByEvaluation,http://example.org/smartcity#EvaluationState,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#basedOnConsentRecord,http://example.org/smartcity#AuthorizationDecision,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#basedOnConsentRecord,http://example.org/smartcity#ConsentRecord,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#basedOnContract,http://example.org/smartcity#AuthorizationDecision,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#basedOnContract,http://example.org/smartcity#SemanticContract,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#basedOnZone,http://example.org/smartcity#AuthorizationDecision,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#basedOnZone,http://example.org/smartcity#CityArea,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#belongsToCommunity,http://example.org/smartcity#User,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#belongsToCommunity,http://example.org/smartcity#Community,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#belongsToPolicyCategory,http://example.org/smartcity#Policy,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#belongsToPolicyCategory,http://example.org/smartcity#PolicyCategory,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#belongsToQueryCatalog,http://example.org/smartcity#QuerySpecification,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#belongsToQueryCatalog,http://example.org/smartcity#QueryCatalog,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#budgetForContract,http://example.org/smartcity#PrivacyBudgetAccount,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#budgetForContract,http://example.org/smartcity#SemanticContract,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#budgetForPurpose,http://example.org/smartcity#PrivacyBudgetAccount,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#budgetForPurpose,http://example.org/smartcity#ProcessingPurpose,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#carriesData,http://example.org/smartcity#TransferEvent,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#categoryCode,http://example.org/smartcity#PolicyCategory,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#categoryCode,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#conditionExpression,http://example.org/smartcity#RecoveryCondition,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#conditionExpression,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#configurationStatus,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#connectsTo,https://saref.etsi.org/core/Device,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#connectsTo,http://example.org/smartcity#ComputationalNode,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#consentSubject,http://example.org/smartcity#ConsentRecord,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#consentSubject,http://example.org/smartcity#User,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#containsIndividualizedGradients,http://example.org/smartcity#FederatedLearningSession,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#containsIndividualizedGradients,http://www.w3.org/2001/XMLSchema#boolean,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#containsPersistentIdentifier,http://example.org/smartcity#FederatedLearningSession,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#containsPersistentIdentifier,http://www.w3.org/2001/XMLSchema#boolean,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#containsPersonalData,http://example.org/smartcity#FederatedLearningSession,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#containsPersonalData,http://www.w3.org/2001/XMLSchema#boolean,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#contextDeviceState,http://example.org/smartcity#DataContext,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#contextDeviceState,http://example.org/smartcity#DeviceState,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#contextNodeState,http://example.org/smartcity#DataContext,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#contextNodeState,http://example.org/smartcity#NodeState,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#contextProcessingLevel,http://example.org/smartcity#DataContext,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#contextProcessingLevel,http://example.org/smartcity#ProcessingLevel,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#contextPurpose,http://example.org/smartcity#DataContext,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#contextPurpose,http://example.org/smartcity#ProcessingPurpose,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#contextZone,http://example.org/smartcity#DataContext,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#contextZone,http://example.org/smartcity#CityArea,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#continuumLevel,http://example.org/smartcity#ModelTier,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#continuumLevel,http://www.w3.org/2001/XMLSchema#integer,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#contractSubject,http://example.org/smartcity#SemanticContract,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#contractSubject,http://example.org/smartcity#User,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#coversArea,http://example.org/smartcity#ComputationalNode,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#coversArea,http://example.org/smartcity#CityArea,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#criterionA,http://example.org/smartcity#PairwiseComparison,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#criterionB,http://example.org/smartcity#PairwiseComparison,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#definedInArtifact,http://example.org/smartcity#Artifact,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#delegatedBy,http://example.org/smartcity#DelegationEvent,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#delegatedBy,http://example.org/smartcity#ComputationalNode,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#delegatesTo,urn:continuum:ontology:3.0.0:node:94,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
