architecture,endpoint,role,profile,dimension,dimension_value,reasoner,repetition,synthetic_users,target_triples,rule_count,padding_mode,status,error,prepare_wall_ms,generation_ms,reasoning_ms,input_triples,output_triples,inferred_triples,closure_expansion_factor,process_cpu_ms,current_rss_kib,peak_rss_kib,disk_read_bytes,disk_write_bytes,timeout_seconds
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,rdfs,1,500,50000,250,neutral,completed,,22300.163122,516.832333,21316.345828,50000,119000,69000,2.38,22295.631952,1129440,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,rdfs,2,500,50000,250,neutral,completed,,21957.757905,577.820167,20725.958893,50000,119000,69000,2.38,21953.177466,1125360,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,rdfs,3,500,50000,250,neutral,completed,,20916.919733,139.090765,20444.862171,50000,119000,69000,2.38,20912.778845,1125360,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,owlrl,1,500,50000,250,neutral,timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,owlrl,2,500,50000,250,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,owlrl,3,500,50000,250,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,rdfs_owlrl,1,500,50000,250,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,rdfs_owlrl,2,500,50000,250,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-250,rule_count,250,rdfs_owlrl,3,500,50000,250,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,rdfs,1,500,0,25,neutral,completed,,4641.007261,191.451249,4288.456961,43097,67445,24348,1.5649581177344132,4636.062789,1124336,1444856,0,0,45.0
